证券代码,证券简称,"收盘价
[交易日期] 2022-01-27
[债券价格类型] 收益率
[单位] 元","收盘价
[交易日期] 2022-01-27
[债券价格类型] 净价
[单位] 元","收盘价
[交易日期] 2022-01-27
[债券价格类型] 全价
[单位] 元","报价买入收益率(最优)
[交易日期] 2022-01-27
[单位] %","剩余期限(年)
[日期] 最新
[单位] 年","债券初始面值
[单位] 元",最新债项评级,到期日期,利率类型,计息方式,利率说明,每年付息次数,Coupon Date,"债券期限(年)
[单位] 年",债券期限(文字),计息基准,付息日说明,"债券期限(年)
[单位] 年","发行总额
[单位] (100M)元"
092100009.IB,21海南银行绿色金融债02清发,3.7126,99.7068,101.0087,,2.6219,100.0000,AA+,2024-09-17,固定利率,单利,3.6%,1,9月17日,3.0000,3,A/365,"每年9月17日付息,节假日顺延",3.0000,"500,000,000.0000"
092100010.IB,21法农银行债02,3.2024,99.8331,100.9687,,2.6219,100.0000,AAA,2024-09-17,固定利率,单利,3.14%,1,9月17日,3.0000,3,ACT/ACT,"每年9月17日付息,节假日顺延",3.0000,"1,000,000,000.0000"
092100011.IB,21新开发银行债02BC,3.0184,99.9965,101.0887,,4.6219,100.0000,,2026-09-17,固定利率,单利,3.02%,1,9月17日,5.0000,5,ACT/ACT,"每年9月17日付息,节假日顺延",5.0000,"2,000,000,000.0000"
092100012.IB,21长城资本债01BC,4.6994,100.6143,102.0740,,4.6795,100.0000,AAA,2026-10-08,固定利率,单利,4.80%,1,10月8日,5.0000,5+N,ACT/ACT,"每年10月8日付息,节假日顺延",5.0000,"10,000,000,000.0000"
092100013.IB,21波兰人民币债01BC,3.1960,100.0000,100.9118,2.8200,2.6986,100.0000,AAA,2024-10-15,固定利率,单利,3.2%,1,10月15日,3.0000,3,ACT/ACT,"每年10月15日付息,节假日顺延",3.0000,"3,000,000,000.0000"
092100019.IB,21亚洲开发银行债02BC,2.7788,100.0000,100.4798,,4.8110,100.0000,,2026-11-25,固定利率,单利,2.78%,1,11月25日,5.0000,5,ACT/ACT,"每年11月25日付息,节假日顺延",5.0000,"1,000,000,000.0000"
092100020.IB,21匈牙利债01BC,3.2780,100.0000,100.3774,,2.8685,100.0000,AAA,2024-12-16,固定利率,单利,3.28%,1,12月16日,3.0000,3,ACT/ACT,"每年12月16日付息,节假日顺延",3.0000,"1,000,000,000.0000"
092103001.IB,21进出美元01,0.7307,99.9500,100.0433,,2.3534,100.0000,,2024-06-11,固定利率,单利,0.70%,2,6月11日,3.0000,3,A/360,"每年6月11日,12月11日付息,节假日顺延",3.0000,"300,000,000.0000"
092103002.IB,21进出美元02,0.7196,99.8324,99.8457,,1.4603,100.0000,,2023-07-20,固定利率,单利,0.6%,2,1月20日,2.0000,2,A/360,"每年1月20日,7月20日付息,节假日顺延",2.0000,"1,000,000,000.0000"
092103003.IB,21进出美元03,1.2999,100.0000,100.3821,,4.6904,100.0000,,2026-10-12,固定利率,单利,1.3%,2,4月12日,5.0000,5,ACT/ACT,"每年4月12日,10月12日付息,节假日顺延",5.0000,"500,000,000.0000"
092103007.IB,21进出清发007,2.2097,100.0419,100.2665,,0.1397,100.0000,,2022-03-25,浮动利率,单利,票面利率以前60个交易日DR007算术平均值+0.3%,4,3月25日,1.0000,365D,ACT/ACT,"2021年6月25日,2021年9月25日,2021年12月25日,2022年3月25日付息,节假日顺延",1.0000,"3,000,000,000.0000"
092103107.IB,21进出清发107,2.7487,100.4560,100.8985,2.3484,2.3342,100.0000,,2024-06-04,浮动利率,单利,票面利率以前60个交易日DR007算术平均值+0.77%,4,3月4日,3.0000,3,ACT/ACT,"每年3月4日,6月4日,9月4日,12月4日付息,节假日顺延",3.0000,"2,100,000,000.0000"
092118001.IB,21农发清发01,2.8475,103.4529,106.8566,2.8650,6.0055,100.0000,,2028-02-04,固定利率,单利,3.48%,1,2月4日,7.0000,7,ACT/ACT,"每年2月4日付息,节假日顺延",7.0000,"123,800,000,000.0000"
092118002.IB,21农发清发02,2.2450,100.8610,103.6102,2.2700,1.0822,100.0000,,2023-03-04,固定利率,单利,3.05%,1,3月4日,2.0000,2,ACT/ACT,"每年3月4日付息,节假日顺延",2.0000,"78,350,000,000.0000"
092118003.IB,21农发清发03,2.3300,100.3547,101.6624,2.3600,1.4767,100.0000,,2023-07-26,固定利率,单利,2.58%,1,7月26日,2.0000,2,ACT/ACT,"每年7月26日付息,节假日顺延",2.0000,"65,520,000,000.0000"
092118004.IB,21农发清发04,2.8119,102.2181,103.6864,2.8900,6.5233,100.0000,,2028-08-12,固定利率,单利,3.19%,1,8月12日,7.0000,7,ACT/ACT,"每年8月12日付息,节假日顺延",7.0000,"70,500,000,000.0000"
092118101.IB,21农发清发101,2.5000,100.3986,101.7373,2.5400,2.4822,100.0000,,2024-07-28,固定利率,单利,2.67%,1,7月28日,3.0000,3,ACT/ACT,"每年7月28日付息,节假日顺延",3.0000,"6,000,000,000.0000"
092280002.IB,22新开发银行债01BC,2.4500,100.0000,100.0000,,2.9836,100.0000,,2025-01-27,固定利率,单利,2.45%,1,1月27日,3.0000,3,ACT/ACT,"每年1月27日付息,节假日顺延",3.0000,"3,000,000,000.0000"
1902001QF.IB,19国开绿债01清发,,,,1.9686,0.8000,100.0000,,2022-11-21,固定利率,单利,3.10%,1,11月21日,3.0000,3,ACT/ACT,"每年11月21日付息,节假日顺延",3.0000,"5,000,000,000.0000"
1902001QFZ.IB,19国开绿债01清发(增发),,,,,0.8000,100.0000,,2022-11-21,固定利率,单利,3.10%,1,11月21日,3.0000,3,ACT/ACT,"每年11月21日付息,节假日顺延",3.0000,"3,500,000,000.0000"
2102001QF.IB,21国开绿债01清发,2.1790,101.8505,104.4495,2.2274,2.1370,100.0000,,2024-03-24,固定利率,单利,3.07%,1,3月24日,3.0000,3,ACT/ACT,"每年3月24日付息,节假日顺延",3.0000,"19,200,000,000.0000"
2102003QF.IB,21国开绿债03清发,2.2001,100.1862,101.3231,2.3000,2.4849,100.0000,,2024-07-29,固定利率,单利,2.28%,1,7月29日,3.0000,3,A/365F,"每年7月29日付息,节假日顺延",3.0000,"10,000,000,000.0000"
2102004QF.IB,21国开绿债04清发,2.2876,99.7284,99.9924,,2.8630,100.0000,,2024-12-14,固定利率,单利,2.19%,1,12月14日,3.0000,3,ACT/ACT,"每年12月14日付息,节假日顺延",3.0000,"15,000,000,000.0000"
2202001QF.IB,22国开绿债01清发,2.4550,99.9764,100.0167,2.5950,4.9671,100.0000,,2027-01-21,固定利率,单利,2.45%,1,1月21日,5.0000,5,ACT/ACT,"每年1月21日付息,节假日顺延",5.0000,"14,870,000,000.0000"
