,close,volume,boll_upper,expma_expma,ma_ma
2021-12-21 13:46:00,8.76,370500.0,8.8728076,8.7883056,8.8162
2021-12-21 13:47:00,8.76,156500.0,8.8728076,8.7856098,8.8132
2021-12-21 13:48:00,8.74,488400.0,8.8747256,8.7812661,8.8098
2021-12-21 13:49:00,8.73,305600.0,8.8773929,8.7763836,8.806
2021-12-21 13:50:00,8.72,241800.0,8.8795222,8.7710137,8.8026
2021-12-21 13:51:00,8.73,445300.0,8.8805451,8.7671076,8.7994
2021-12-21 13:52:00,8.71,265200.0,8.8820466,8.7616688,8.7956
2021-12-21 13:53:00,8.71,523100.0,8.8780328,8.756748,8.7922
2021-12-21 13:54:00,8.72,488300.0,8.8735728,8.7532482,8.789
2021-12-21 13:55:00,8.71,285900.0,8.8687829,8.7491293,8.7862
2021-12-21 13:56:00,8.69,619200.0,8.8608625,8.7434979,8.7832
2021-12-21 13:57:00,8.71,268100.0,8.8534906,8.7403077,8.7808
2021-12-21 13:58:00,8.71,119460.0,8.8448811,8.7374212,8.779
2021-12-21 13:59:00,8.71,311840.0,8.8326689,8.7348097,8.7772
2021-12-21 14:00:00,8.71,226900.0,8.820715,8.7324468,8.7752
2021-12-21 14:01:00,8.73,445560.0,8.8087971,8.7322138,8.7734
2021-12-21 14:02:00,8.71,165900.0,8.7977081,8.7300982,8.7716
2021-12-21 14:03:00,8.68,438900.0,8.7938759,8.725327,8.7692
2021-12-21 14:04:00,8.65,602100.0,8.7926777,8.718153,8.7664
2021-12-21 14:05:00,8.68,999900.0,8.7861246,8.7145193,8.7642
2021-12-21 14:06:00,8.68,240100.0,8.7836847,8.7112318,8.7622
2021-12-21 14:07:00,8.69,293500.0,8.7801198,8.7092097,8.7602
2021-12-21 14:08:00,8.69,293900.0,8.7760409,8.7073802,8.7588
2021-12-21 14:09:00,8.7,199300.0,8.7694451,8.7066773,8.7576
2021-12-21 14:10:00,8.7,246000.0,8.7640165,8.7060414,8.7564
2021-12-21 14:11:00,8.69,331600.0,8.758001,8.7045137,8.755
2021-12-21 14:12:00,8.67,149100.0,8.7520744,8.7012266,8.753
2021-12-21 14:13:00,8.66,411300.0,8.7458132,8.6973003,8.7504
2021-12-21 14:14:00,8.67,443511.0,8.7417992,8.6947003,8.7476
2021-12-21 14:15:00,8.66,230300.0,8.7396502,8.6913955,8.7448
2021-12-21 14:16:00,8.65,181200.0,8.7393005,8.6874531,8.7416
2021-12-21 14:17:00,8.63,400513.0,8.7391661,8.6819813,8.7372
2021-12-21 14:18:00,8.63,538037.0,8.7404352,8.6770307,8.733
2021-12-21 14:19:00,8.63,212000.0,8.7407017,8.6725516,8.7288
2021-12-21 14:20:00,8.66,444300.0,8.7370324,8.6713562,8.7248
2021-12-21 14:21:00,8.64,254300.0,8.7352137,8.6683699,8.7208
2021-12-21 14:22:00,8.63,260500.0,8.735682,8.6647156,8.7166
2021-12-21 14:23:00,8.63,236300.0,8.7335022,8.6614094,8.7122
2021-12-21 14:24:00,8.6,611400.0,8.7336241,8.6555609,8.7074
2021-12-21 14:25:00,8.6,461800.0,8.732389,8.6502694,8.7028
2021-12-21 14:26:00,8.61,456740.0,8.7290824,8.6464342,8.6986
2021-12-21 14:27:00,8.6,324100.0,8.7218932,8.6420119,8.6948
2021-12-21 14:28:00,8.62,475550.0,8.7159279,8.6399155,8.6914
2021-12-21 14:29:00,8.63,180900.0,8.713498,8.6389712,8.6882
2021-12-21 14:30:00,8.6,361300.0,8.7145345,8.6352596,8.685
