wind_code,date,i_weight
600309.SH,2020-12-01,0.7296
600332.SH,2020-12-01,0.0972
600340.SH,2020-12-01,0.1287
600346.SH,2020-12-01,0.3032
600352.SH,2020-12-01,0.2161
600362.SH,2020-12-01,0.128
600369.SH,2020-12-01,0.1013
600383.SH,2020-12-01,0.1881
600390.SH,2020-12-01,0.0931
600406.SH,2020-12-01,0.2997
600436.SH,2020-12-01,0.3675
600438.SH,2020-12-01,0.4499
600482.SH,2020-12-01,0.0637
600487.SH,2020-12-01,0.1129
600489.SH,2020-12-01,0.0984
600498.SH,2020-12-01,0.0973
600519.SH,2020-12-01,4.829
600522.SH,2020-12-01,0.1483
600547.SH,2020-12-01,0.2428
600570.SH,2020-12-01,0.4166
600585.SH,2020-12-01,0.7473
600588.SH,2020-12-01,0.3993
600606.SH,2020-12-01,0.1307
600637.SH,2020-12-01,0.1089
600655.SH,2020-12-01,0.078
